date,甲烷,乙烯,乙烷,乙炔,总烃,氢气,一氧化碳,二氧化碳
2023-09-04 06:41:21,41.68,6.22,9.13,0,57.03,4.59,1940.74,9307.93
2023-09-04 14:41:21,37.43,7.04,10.66,0,55.13,4.92,1874.85,8629.52
2023-09-04 22:41:21,34.75,6.23,9.98,0,50.96,4.95,1878.11,9296.66
2023-09-05 06:41:21,38.61,7.05,9.7,0,55.36,4.6,1957.3,8585.19
2023-09-05 14:41:21,39.2,7.13,9.66,0,55.99,4.93,2004.14,8587.24
2023-09-05 22:41:21,40.73,6.38,9.06,0,56.17,5.01,2008.62,9040.36
2023-09-06 06:41:21,39.77,6.38,10.74,0,56.89,4.9,2039.61,8600.31
2023-09-06 14:41:21,39.42,6.72,10.07,0,56.21,4.7,1870.38,9005.33
2023-09-06 22:41:21,41.03,6.45,10.88,0,58.36,5.19,2006.1,8581.15
2023-09-07 06:41:21,38.29,6.46,10.63,0,55.38,4.85,1886.47,8975.83
2023-09-07 14:41:21,36.92,6.03,10.81,0,53.76,5.15,1923.37,8756.7
2023-09-07 22:41:21,38.61,6.1,9.13,0,53.84,4.59,1945.71,9049.54
2023-09-08 06:41:21,38.25,5.91,9.01,0,53.17,4.62,1895.85,8631.81
2023-09-08 22:41:21,39.78,6.71,9.3,0,50.32,4.6,2031.74,8794
2023-09-09 06:41:21,39.9,6.44,10.48,0,56.82,5.02,2035.91,8931.5
2023-09-09 14:41:21,37.72,6.55,10.28,0,56.82,4.72,2042.82,8856.12
2023-09-09 22:41:21,40.72,6,9.94,0,54.55,5.42,1855.13,8878.3
2023-09-10 06:41:21,41.03,6.54,9.33,0,56.9,4.61,1877.15,9045.56
2023-09-10 14:41:21,39.82,6.87,9.15,0,55.84,4.99,2024.65,8957.28
2023-09-10 22:41:21,35.98,6.22,9.81,0,52.01,5.05,1949.04,8473.08
2023-09-11 06:41:21,37.14,6.58,9.93,0,53.65,5.11,2013.03,9046.67
2023-09-11 14:41:21,41.15,6.71,10.16,0,58.02,5.28,1992.76,9024.71
2023-09-11 22:41:21,39.7,7.13,10.76,0,57.59,4.97,1871.72,9073.31
2023-09-12 06:41:21,37.64,6.11,9.21,0,52.96,4.83,1993.69,8993.23
2023-09-12 14:41:21,35.81,6.75,10.29,0,52.85,4.67,1989.07,9235.73
2023-09-12 22:41:21,37,6.74,9.1,0,52.84,5.39,1925.22,8779.99
2023-09-13 06:41:21,35.23,7.09,10.46,0,52.78,5.39,2052.25,8823.18
2023-09-13 14:41:21,39.71,6.14,9.06,0,54.91,5.24,2051.83,8612.45
2023-09-13 22:41:21,37.39,6.35,9.97,0,53.71,5.3,1945.48,8792.38
2023-09-14 06:41:21,40.12,5.97,10.19,0,56.28,4.81,2064.49,8989.42
2023-09-14 14:41:21,40.02,6.24,10.24,0,56.5,5.38,2036.59,9307.85
2023-09-14 22:41:21,37.52,6.79,9.04,0,53.35,4.51,1898.91,9102.58
2023-09-15 06:41:21,36.49,6.28,10.21,0,52.98,4.73,1873.35,8695.43
2023-09-15 14:41:21,38.15,6.34,9.32,0,53.81,4.9,1959.67,8577.1
2023-09-15 22:41:21,39.86,6.16,9.78,0,55.8,4.5,1857.7,9283.52
2023-09-16 06:41:21,35.43,6.18,10.54,0,52.15,4.6,2041.64,8588.94
2023-09-16 14:41:21,38.44,7,10.03,0,55.47,4.91,2027.48,8994.95
2023-09-16 22:41:21,38.05,6.13,9.61,0,53.79,5.25,1975.59,8872.24
2023-09-17 06:41:21,37.75,5.92,10.41,0,54.08,4.93,2047.49,8907.12
2023-09-17 14:41:21,35.99,6.77,10.64,0,53.4,4.99,2032.91,8455.9
2023-09-17 22:41:21,40.39,7.08,10.88,0,58.35,4.53,2010.16,8879.59
2023-09-18 06:41:21,40.25,6.8,9.71,0,56.76,5.07,2032.26,8910.18
2023-09-18 14:41:21,35.5,6.07,10.37,0,51.94,5.16,2004.13,8677.06
2023-09-18 22:41:21,39.75,6.6,9.74,0,56.09,5.32,1976.06,9103.8
